,wahre_labels,nearestneighbour,catch22,shapelets,rocket
7334,False,False,0.035,0.26004693,0.0
7643,False,False,0.155,0.019331807,1.0
7708,False,True,0.685,0.16975422,1.0
8251,False,True,0.47,0.18432346,1.0
8917,True,False,0.245,0.09165227,0.0
9155,True,False,0.415,0.24008113,1.0
9228,True,True,0.81,0.26063925,1.0
9754,True,True,0.37,0.12549137,1.0
9953,False,False,0.0,0.03417753,0.0
10201,False,False,0.0,0.13771513,0.0
10274,False,False,0.0,0.10350643,0.0
10808,False,False,0.03,0.009559682,0.0
12060,False,False,0.005,0.003096922,0.0
12309,False,False,0.155,0.12444637,0.0
12381,False,False,0.035,0.034527916,0.0
12911,False,False,0.42,0.10462795,0.0
13109,False,False,0.56,0.13354619,1.0
13358,False,False,0.405,0.27885863,0.0
13423,False,False,0.02,0.1999173,0.0
14014,False,False,0.39,0.08504058,0.0
14215,False,True,0.605,0.36867002,1.0
14463,False,True,0.46,0.023313975,1.0
14527,False,False,0.005,0.29106098,0.0
15135,False,False,0.405,0.17646597,0.0
17370,False,False,0.06,0.17111188,0.0
17650,False,False,0.145,0.02260728,0.0
17723,False,True,0.815,0.17956185,1.0
18253,False,True,0.395,0.1357093,1.0
18451,False,True,0.275,0.20861895,0.0
18742,False,True,0.325,0.0095300395,0.0
18802,False,True,0.0,0.18791139,0.0
19729,False,False,0.35,0.08520928,0.0
19929,False,True,0.57,0.23447129,1.0
20177,False,True,0.445,0.4479535,1.0
20249,False,True,0.835,0.24416779,1.0
20771,False,True,0.445,0.2667382,1.0
20968,True,False,0.04,0.07877746,0.0
21210,True,True,0.22,0.036590934,0.0
21413,True,False,0.035,0.07410343,0.0
22501,True,False,0.075,0.1723637,0.0
24712,False,False,0.005,0.122156024,0.0
24958,False,False,0.125,0.0047520027,0.0
25032,False,False,0.025,0.0593815,0.0
25566,False,False,0.06,0.14245182,0.0
26804,True,False,0.13,0.17142722,0.0
27032,True,False,0.315,0.36359474,1.0
27105,True,True,0.86,0.29400602,1.0
27644,True,True,0.505,0.09962702,1.0
33083,True,False,0.695,0.40095016,1.0
33331,True,True,0.4,0.08494692,1.0
33402,True,True,0.91,0.26265723,1.0
33929,True,True,0.285,0.09183827,1.0
35180,True,False,0.595,0.34524447,1.0
35427,True,False,0.44,0.4662091,1.0
35499,True,True,0.92,0.25795683,1.0
36031,True,True,0.415,0.13058089,1.0
37275,True,True,0.645,0.2954055,1.0
37523,True,False,0.345,0.23912063,1.0
37595,True,True,0.85,0.25169834,1.0
38129,True,True,0.405,0.17797042,1.0
39379,True,True,0.69,0.38429344,0.0
39627,True,True,0.41,0.35766998,1.0
39699,True,True,0.79,0.20404734,1.0
40235,True,True,0.41,0.1743608,1.0
41482,True,False,0.61,0.22902374,0.0
41729,True,True,0.63,0.60312927,1.0
41802,True,True,0.875,0.2993758,1.0
