,wahre_labels,nearestneighbour,catch22,shapelets,rocket
3212,False,False,0.0,0.019992504,0.0
3460,False,False,0.06,0.23800051,0.0
3532,False,False,0.01,0.020972887,0.0
4065,False,False,0.0,0.02219819,0.0
8449,False,False,0.02,0.0022689411,0.0
8754,False,False,0.015,0.0012217024,0.0
8807,False,False,0.04,0.3467244,0.0
8812,False,False,0.575,0.3290242,0.0
13109,False,False,0.045,0.055693112,0.0
13358,False,False,0.115,0.1639612,0.0
13423,False,False,0.01,0.07387839,0.0
14014,False,False,0.005,0.011297356,0.0
14215,False,False,0.025,0.027422622,0.0
14463,False,False,0.09,0.0132708205,0.0
14527,False,False,0.0,0.050654437,0.0
15135,False,False,0.0,0.0347579,0.0
19929,False,False,0.0,0.015246381,0.0
20177,False,False,0.04,0.11576588,0.0
20249,False,False,0.025,0.020784926,0.0
20771,False,False,0.005,0.03426081,0.0
20968,False,False,0.035,0.007653724,0.0
21210,False,False,0.075,0.11292885,0.0
21413,False,False,0.095,0.006202338,0.0
22501,False,False,0.025,0.0024376574,0.0
22965,False,False,0.0,0.01843841,0.0
23211,False,False,0.105,0.03032605,0.0
23284,False,False,0.135,0.007847182,0.0
23496,False,False,0.125,0.0663134,0.0
24712,True,True,0.87,0.46064398,1.0
24958,True,True,0.435,0.0019521958,1.0
25032,True,True,0.51,0.1641048,1.0
25566,True,True,0.755,0.5539448,1.0
28898,False,False,0.0,0.02311657,0.0
29145,False,False,0.055,0.20317155,0.0
29217,False,False,0.005,0.017248176,0.0
29744,False,False,0.035,0.03043875,0.0
29942,False,False,0.015,0.03265568,0.0
30189,False,False,0.095,0.0730566,0.0
30261,False,False,0.08,0.063683055,0.0
30787,False,False,0.02,0.011356613,0.0
32038,False,False,0.0,0.039509006,0.0
32285,False,False,0.045,0.39802203,0.0
32357,False,False,0.01,0.015701925,0.0
32886,False,False,0.015,0.024850681,0.0
36229,False,False,0.005,0.036022056,0.0
36476,False,False,0.085,0.12682602,0.0
36549,False,False,0.03,0.04941405,0.0
37078,False,False,0.01,0.023665613,0.0
40433,False,False,0.0,0.019721504,0.0
40683,False,False,0.09,0.1276868,0.0
40755,False,False,0.01,0.04486633,0.0
41286,False,False,0.005,0.011552488,0.0
42526,False,False,0.0,0.038020544,0.0
42773,False,False,0.07,0.20670779,0.0
42845,False,False,0.0,0.022511574,0.0
43375,False,False,0.015,0.056757193,0.0
45675,False,False,0.005,0.014597358,0.0
45923,False,False,0.085,0.0808368,0.0
45996,False,False,0.02,0.023188638,0.0
46520,False,False,0.005,0.027645474,0.0
55101,False,False,0.005,0.016184125,0.0
55346,False,False,0.055,0.14477411,0.0
55419,False,False,0.02,0.020077936,0.0
55952,False,False,0.01,0.030776817,0.0
58252,False,False,0.0,0.026218383,0.0
58499,False,False,0.0,0.08995434,0.0
58572,False,False,0.0,0.14209558,0.0
59107,False,False,0.0,0.026715213,0.0
62460,False,False,0.0,0.043555744,0.0
62709,False,False,0.0,0.12177266,0.0
62782,False,False,0.0,0.17434658,0.0
63309,False,False,0.0,0.057143554,0.0
66646,False,False,0.0,0.1636156,0.0
66894,False,False,0.005,0.14628841,0.0
66967,False,False,0.0,0.1785592,0.0
67494,False,False,0.01,0.07189852,0.0
67691,False,False,0.0,0.03634363,0.0
67938,False,False,0.0,0.13428928,0.0
68011,False,False,0.0,0.14981876,0.0
68541,False,False,0.005,0.055286705,0.0
71892,False,False,0.0,0.055505622,0.0
72141,False,False,0.0,0.27208534,0.0
72213,False,False,0.0,0.17944574,0.0
72744,False,False,0.0,0.022193147,0.0
79241,False,False,0.0,0.14749913,0.0
79489,False,False,0.0,0.118447006,0.0
79562,False,False,0.005,0.23972411,0.0
80089,False,False,0.015,0.065794125,0.0
80286,True,True,0.925,0.586355,1.0
80533,True,False,0.51,0.07230923,1.0
80606,True,True,0.675,0.24845819,1.0
81140,True,True,0.73,0.33059746,1.0
81340,True,True,0.91,0.5428384,1.0
81587,True,False,0.605,0.11959394,1.0
81659,True,True,0.525,0.24751711,1.0
82189,True,True,0.66,0.36608654,1.0
